timestamp,ecg_value
0.0016701221466064453,6
0.004958391189575195,1730.22
0.006107807159423828,6
0.010002613067626953,1730.22
0.010432004928588867,6
0.014448881149291992,1730.22
0.01488351821899414,6
0.019174814224243164,1730.22
0.019610166549682617,6
0.023912906646728516,1730.22
0.02492690086364746,6
0.028272151947021484,1730.22
0.029311418533325195,6
0.03230476379394531,1730.22
0.03331708908081055,6
0.03566884994506836,1730.22
0.03700709342956543,6
0.0396726131439209,1730.22
0.041016578674316406,6
0.04367947578430176,1730.22
0.044977426528930664,6
0.047651052474975586,1730.22
0.04900336265563965,6
0.051903486251831055,1730.22
0.053261518478393555,6
0.055989742279052734,1730.22
0.05735516548156738,6
0.06022357940673828,1730.22
0.06157398223876953,6
0.06532478332519531,1730.22
0.0660848617553711,6
0.06885576248168945,1730.22
0.07022571563720703,6
0.07288074493408203,1730.22
0.07424616813659668,6
0.07685708999633789,1730.22
0.0782022476196289,6
0.08157134056091309,1730.22
0.08211827278137207,6
0.08483529090881348,1730.22
0.08614826202392578,6
0.08985424041748047,1730.22
0.09021782875061035,6
0.09392118453979492,1730.22
0.0942847728729248,6
0.09756135940551758,1730.22
0.09891533851623535,6
0.10161590576171875,1730.22
0.10297155380249023,6
0.10570049285888672,1730.22
0.10707759857177734,6
0.11052727699279785,1730.22
0.1111290454864502,6
0.11461353302001953,1730.22
0.11612963676452637,6
0.11883926391601562,1730.22
0.12022137641906738,6
0.12291884422302246,1730.22
0.12429618835449219,6
0.12693476676940918,1730.22
0.128279447555542,6
0.1309795379638672,1730.22
0.13251376152038574,6
0.13525748252868652,1730.22
0.13660287857055664,6
0.13930535316467285,1730.22
0.14066600799560547,6
0.1435682773590088,1730.22
0.14492583274841309,6
0.14766192436218262,1730.22
0.14902710914611816,6
0.15184330940246582,1730.22
0.1532144546508789,6
0.1559278964996338,1730.22
0.15772461891174316,6
0.16053390502929688,1730.22
0.161909818649292,6
0.16459369659423828,1730.22
0.16600537300109863,6
0.1688380241394043,1730.22
0.1702280044555664,6
0.17357492446899414,1730.22
0.17428827285766602,6
0.1771392822265625,1730.22
0.17844891548156738,6
0.18245935440063477,1730.22
0.18367695808410645,6
0.18694067001342773,1730.22
0.18801355361938477,6
0.19094204902648926,1730.22
0.19251275062561035,6
0.19627141952514648,1730.22
0.1968388557434082,6
0.19983839988708496,1730.22
0.20137596130371094,6
0.20525336265563965,1730.22
0.20592474937438965,6
0.2089524269104004,1730.22
0.20995187759399414,6
0.2129669189453125,1730.22
0.21434593200683594,6
0.21721887588500977,1730.22
0.2188401222229004,6
0.22150397300720215,1730.22
0.2228853702545166,6
0.22558808326721191,1730.22
0.22684049606323242,6
0.22954916954040527,1730.22
0.23082542419433594,6
0.23348355293273926,1730.22
0.2348644733428955,6
0.23750853538513184,1730.22
0.23886442184448242,6
0.24148201942443848,1730.22
0.24288654327392578,6
0.24588990211486816,1730.22
0.24720239639282227,6
0.24986720085144043,1730.22
0.25118064880371094,6
0.2538430690765381,1730.22
0.25520992279052734,6
0.2579190731048584,1730.22
0.25925779342651367,6
0.26184630393981934,1730.22
0.2636597156524658,6
0.26633596420288086,1730.22
0.2676684856414795,6
0.27028942108154297,1730.22
0.27156805992126465,6
0.27413201332092285,1730.22
0.2754805088043213,6
0.2781977653503418,1730.22
0.2795422077178955,6
0.2820861339569092,1730.22
0.28348684310913086,6
0.2862284183502197,1730.22
0.2874929904937744,6
0.29015326499938965,1730.22
0.29151153564453125,6
0.2941415309906006,1730.22
0.29564523696899414,6
0.29828858375549316,1730.22
0.2996237277984619,6
0.30232954025268555,1730.22
0.3036837577819824,6
0.3061869144439697,1730.22
0.3075289726257324,6
0.31059837341308594,1730.22
0.31196022033691406,6
0.31464529037475586,1730.22
0.3160378932952881,6
0.3186361789703369,1730.22
0.3199656009674072,6
0.3225409984588623,1730.22
0.32386088371276855,6
0.3265407085418701,1730.22
0.3279387950897217,6
0.33054161071777344,1730.22
0.331920862197876,6
0.33451223373413086,1730.22
0.33580660820007324,6
0.3385024070739746,1730.22
0.3398873805999756,6
0.34249091148376465,1730.22
0.3438742160797119,6
0.3465569019317627,1730.22
0.3478720188140869,6
0.3505420684814453,1730.22
0.3518960475921631,6
0.3546106815338135,1730.22
0.35592174530029297,6
0.35857319831848145,1730.22
0.35993027687072754,6
0.3625819683074951,1730.22
0.36391425132751465,6
0.3665292263031006,1730.22
0.3678417205810547,6
0.3705291748046875,1730.22
0.3717982769012451,6
0.3749575614929199,1730.22
0.37595415115356445,6
0.37888050079345703,1730.22
0.37987613677978516,6
0.38286304473876953,1730.22
0.3838536739349365,6
